,response,response,response
12_13_14_16_19_20_21_29_30_33_34_36_37,26,0.006838506049447659,3802
25_27_29_30_33_34_35_37,26,0.0034960333467796154,7437
12_13_15_17_19_20_21_29_30_33_34_35_37,25,0.006758583400919167,3699
12_13_14_17_19_20_21_29_30_33_34_35_37,24,0.006033182503770739,3978
24_26_29_30_33_34_35_37,23,0.005300760543904126,4339
25_27_29_30_33_34_36_37,23,0.0029831387808041503,7710
12_13_14_16_18_20_23_29_30_33_34_35_37,22,0.006048941435248831,3637
12_13_15_16_18_20_21_29_30_33_34_35_37,22,0.005945945945945946,3700
12_13_14_17_18_20_22_29_30_33_34_35_37,22,0.005942733657482442,3702
12_13_15_17_19_20_22_29_30_33_34_36_37,22,0.005715770329955833,3849
12_13_15_17_18_20_22_29_30_33_34_36_37,22,0.005639579594975647,3901
25_29_30_33_34_36_37,21,0.006095791001451379,3445
12_13_14_16_19_20_23_29_30_33_34_35_37,21,0.0057080728458820335,3679
12_13_14_17_18_20_23_29_30_33_34_36_37,21,0.005397070161912105,3891
12_13_14_16_18_20_22_29_30_33_34_36_37,21,0.005388760585065435,3897
12_13_14_16_18_20_21_29_30_33_34_36_37,20,0.005346164127238706,3741
12_13_14_17_19_20_21_29_30_33_34_36_37,20,0.0052603892688058915,3802
12_13_14_16_18_20_23_29_30_33_34_36_37,20,0.005254860746190226,3806
24_27_29_30_33_34_35_37,20,0.003226847370119393,6198
12_13_14_17_19_20_23_29_30_33_34_36_37,19,0.004966021955044433,3826
12_13_14_16_19_20_22_29_30_33_34_36_37,19,0.00495565988523735,3834
12_13_14_17_18_20_21_29_30_33_34_36_37,19,0.004802831142568251,3956
12_13_15_17_18_20_23_29_30_33_34_36_37,19,0.004735792622133599,4012
26_29_30_33_34_35_37_38,18,0.022871664548919948,787
12_13_15_16_18_20_22_29_30_33_34_36_37,18,0.004659590991457417,3863
12_13_15_17_19_20_22_29_30_33_34_35_37,18,0.004568527918781726,3940
12_13_15_17_18_20_23_29_30_33_34_35_37,17,0.004726160689463442,3597
12_13_14_16_19_20_21_29_30_33_34_35_37,17,0.004678040726472207,3634
12_13_15_16_18_20_23_29_30_33_34_35_37,17,0.004622077215878194,3678
12_13_15_17_19_20_21_29_30_33_34_36_37,17,0.0042724302588590096,3979
24_27_29_30_33_34_36_37,17,0.0026405716060888475,6438
27_29_30_32_36_37,16,0.41025641025641024,39
27_29_30_32_35_37,16,0.3404255319148936,47
25_26_29_30_32_36_37,16,0.3404255319148936,47
12_13_15_16_19_20_23_29_30_33_34_35_37,16,0.004423555432679016,3617
12_13_14_17_18_20_21_29_30_33_34_35_37,16,0.004263256061817213,3753
12_13_15_17_18_20_21_29_30_33_34_36_37,16,0.004020100502512563,3980
0_1_2_4_7_8_10_29_30_32_36_37,15,0.3488372093023256,43
12_13_14_16_19_20_22_29_30_33_34_35_37,15,0.0042529061525375675,3527
12_13_15_16_18_20_23_29_30_33_34_36_37,15,0.004071661237785016,3684
12_13_15_17_18_20_22_29_30_33_34_35_37,15,0.004054054054054054,3700
12_13_14_17_18_20_23_29_30_33_34_35_37,15,0.004030091348737238,3722
12_13_15_16_19_20_22_29_30_33_34_36_37,15,0.003995737879595098,3754
12_13_14_17_19_20_23_29_30_33_34_35_37,15,0.003972457627118644,3776
0_1_2_4_7_8_9_29_30_32_36_37,14,0.2857142857142857,49
26_29_30_32_34_36_37,14,0.21212121212121213,66
25_29_30_33_34_35_37,14,0.004246284501061571,3297
12_13_15_16_18_20_22_29_30_33_34_35_37,14,0.0038813418353202105,3607
12_13_14_16_18_20_22_29_30_33_34_35_37,14,0.0038684719535783366,3619
12_13_14_16_19_20_23_29_30_33_34_36_37,14,0.0038324664659184233,3653
12_13_14_17_19_20_22_29_30_33_34_35_37,14,0.003691009754811495,3793
12_13_15_17_19_20_23_29_30_33_34_36_37,14,0.003652491521001826,3833
0_1_3_4_6_8_9_29_30_32_36_37,13,0.30952380952380953,42
28_29_30_33_34_35_37,13,0.007096069868995633,1832
28_29_30_33_34_36_37,13,0.006881948120698782,1889
25_26_29_30_32_35_37,12,0.3,40
0_1_3_4_7_8_10_29_30_32_36_37,12,0.26666666666666666,45
0_1_2_4_6_8_9_29_30_32_36_37,12,0.19672131147540983,61
0_1_3_4_6_8_9_27_29_30_33_34_36_37,12,0.015113350125944584,794
12_13_15_16_19_20_21_29_30_33_34_35_37,12,0.0033277870216306157,3606
12_13_15_17_18_20_21_29_30_33_34_35_37,12,0.003133159268929504,3830
12_13_15_17_19_20_23_29_30_33_34_35_37,12,0.003097573567372225,3874
25_26_29_30_32_34_35_37,11,0.36666666666666664,30
0_1_2_5_7_8_9_29_30_32_36_37,11,0.2682926829268293,41
0_1_3_5_6_8_10_26_29_30_33_34_36_37,11,0.011603375527426161,948
12_13_14_16_18_20_21_29_30_33_34_35_37,11,0.0030951041080472708,3554
12_13_15_16_19_20_22_29_30_33_34_35_37,11,0.0030700530281886685,3583
12_13_14_17_19_20_22_29_30_33_34_36_37,11,0.0028780743066457353,3822
12_13_14_16_19_20_21_29_30_32_36_37,10,0.5555555555555556,18
0_1_2_5_7_8_11_29_30_32_36_37,10,0.2127659574468085,47
0_1_2_5_7_8_10_27_29_30_33_34_35_37,10,0.012919896640826873,774
0_1_2_4_6_8_11_27_29_30_33_34_36_37,10,0.011876484560570071,842
12_13_15_16_18_20_21_29_30_33_34_36_37,10,0.002592016588906169,3858
25_27_29_30_32_35_37,9,0.391304347826087,23
0_1_3_5_7_8_10_29_30_32_35_37,9,0.3,30
0_1_3_5_7_8_11_29_30_32_35_37,9,0.23076923076923078,39
0_1_3_5_6_8_11_29_30_32_36_37,9,0.23076923076923078,39
0_1_2_5_6_8_11_27_29_30_33_34_36_37,9,0.011056511056511056,814
0_1_3_5_7_8_10_27_29_30_33_34_36_37,9,0.011056511056511056,814
0_1_2_4_6_8_10_27_29_30_33_34_36_37,9,0.010882708585247884,827
0_1_3_5_7_8_11_26_29_30_33_34_35_37,9,0.01060070671378092,849
0_1_3_5_7_8_10_26_29_30_33_34_36_37,9,0.009944751381215469,905
0_1_3_4_6_8_11_26_29_30_33_34_36_37,9,0.00980392156862745,918
12_13_15_16_19_20_23_29_30_33_34_36_37,9,0.0024180548092423426,3722
24_26_29_30_32_35_37,8,0.38095238095238093,21
0_1_3_4_6_8_10_29_30_32_35_37,8,0.25806451612903225,31
0_1_3_5_7_8_9_27_29_30_33_34_36_37,8,0.010498687664041995,762
0_1_2_4_7_8_10_27_29_30_33_34_35_37,8,0.010243277848911651,781
0_1_2_4_7_8_10_27_29_30_33_34_36_37,8,0.009913258983890954,807
0_1_2_5_6_8_9_27_29_30_33_34_36_37,8,0.009779951100244499,818
0_1_3_5_6_8_11_27_29_30_33_34_36_37,8,0.009557945041816009,837
0_1_3_4_6_8_9_26_29_30_33_34_35_37,8,0.009269988412514484,863
0_1_3_4_7_8_10_26_29_30_33_34_35_37,8,0.009060022650056626,883
0_1_3_5_7_8_9_26_29_30_33_34_36_37,8,0.008859357696566999,903
0_1_3_4_7_8_10_26_29_30_33_34_36_37,8,0.008830022075055188,906
0_1_2_4_6_8_10_26_29_30_33_34_36_37,8,0.00881057268722467,908
0_1_2_4_7_8_10_26_29_30_33_34_35_37,8,0.008686210640608035,921
12_13_15_16_19_20_22_29_30_32_35_37,7,0.4375,16
0_1_2_5_7_8_10_29_30_32_35_37,7,0.23333333333333334,30
0_1_2_4_6_8_11_29_30_32_35_37,7,0.20588235294117646,34
0_1_2_5_6_8_10_29_30_32_35_37,7,0.2,35
0_1_3_4_6_8_10_29_30_32_36_37,7,0.2,35
0_1_3_4_6_8_9_29_30_32_35_37,7,0.1891891891891892,37
0_1_3_4_6_8_11_29_30_32_36_37,7,0.16279069767441862,43
0_1_2_5_6_8_9_29_30_32_35_37,7,0.15555555555555556,45
26_29_30_32_34_35_37,7,0.14893617021276595,47
12_13_14_17_18_20_23_27_29_30_33_34_36_37,7,0.03333333333333333,210
0_1_3_4_7_8_11_39_40_41_43_45_47_48_50_51,7,0.019390581717451522,361
0_1_3_5_6_8_11_27_29_30_33_34_35_37,7,0.009358288770053475,748
0_1_2_5_6_8_10_27_29_30_33_34_36_37,7,0.009162303664921465,764
0_1_2_4_6_8_10_27_29_30_33_34_35_37,7,0.008728179551122194,802
0_1_3_5_7_8_10_27_29_30_33_34_35_37,7,0.008641975308641974,810
0_1_3_4_6_8_9_27_29_30_33_34_35_37,7,0.008547008547008548,819
0_1_3_5_6_8_9_26_29_30_33_34_36_37,7,0.00842358604091456,831
0_1_3_4_7_8_11_26_29_30_33_34_36_37,7,0.008323424494649227,841
0_1_3_5_6_8_11_26_29_30_33_34_36_37,7,0.008120649651972157,862
0_1_2_4_7_8_10_26_29_30_33_34_36_37,7,0.007891770011273957,887
26_29_30_32_33_34_36_37,7,0.0077348066298342545,905
0_1_2_4_6_8_11_26_29_30_33_34_36_37,7,0.007717750826901874,907
0_1_2_5_6_8_10_26_29_30_33_34_36_37,7,0.007683863885839737,911
12_13_15_17_19_20_23_29_30_32_36_37,6,0.46153846153846156,13
0_1_2_4_6_8_11_29_30_32_36_37,6,0.1935483870967742,31
0_1_2_4_7_8_9_29_30_32_35_37,6,0.1935483870967742,31
0_1_2_4_6_8_10_29_30_32_36_37,6,0.15384615384615385,39
0_1_3_5_6_8_10_29_30_32_36_37,6,0.14634146341463414,41
0_1_3_5_7_8_11_29_30_32_36_37,6,0.125,48
24_29_30_33_34_35_37,6,0.01276595744680851,470
24_29_30_33_34_36_37,6,0.011787819253438114,509
26_29_30_33_34_36_37_38,6,0.00980392156862745,612
0_1_3_5_7_8_11_27_29_30_33_34_36_37,6,0.007772020725388601,772
0_1_3_5_7_8_9_27_29_30_33_34_35_37,6,0.007653061224489796,784
0_1_2_5_7_8_9_26_29_30_33_34_35_37,6,0.007290400972053463,823
0_1_2_4_6_8_9_27_29_30_33_34_36_37,6,0.0070921985815602835,846
0_1_2_5_6_8_10_26_29_30_33_34_35_37,6,0.0070838252656434475,847
0_1_3_4_6_8_10_26_29_30_33_34_35_37,6,0.006952491309385863,863
0_1_2_4_6_8_10_26_29_30_33_34_35_37,6,0.006904487917146145,869
0_1_3_4_7_8_9_26_29_30_33_34_36_37,6,0.006734006734006734,891
0_1_2_5_7_8_10_26_29_30_33_34_36_37,6,0.0066815144766146995,898
0_1_3_4_7_8_9_26_29_30_33_34_35_37,6,0.0066518847006651885,902
0_1_3_5_7_8_11_26_29_30_33_34_36_37,6,0.006615214994487321,907
12_13_15_16_19_20_23_29_30_32_35_37,5,0.38461538461538464,13
12_13_14_16_18_20_21_29_30_32_35_37,5,0.3333333333333333,15
0_1_2_4_6_8_10_29_30_32_34_36_37,5,0.22727272727272727,22
0_1_3_4_7_8_9_29_30_32_35_37,5,0.20833333333333334,24
0_1_2_4_6_8_10_29_30_32_35_37,5,0.1388888888888889,36
0_1_2_5_7_8_10_29_30_32_36_37,5,0.1388888888888889,36
0_1_2_5_6_8_11_29_30_32_35_37,5,0.13513513513513514,37
0_1_3_4_7_8_10_29_30_32_35_37,5,0.13157894736842105,38
0_1_2_4_6_8_9_29_30_32_35_37,5,0.125,40
0_1_3_5_7_8_9_29_30_32_36_37,5,0.10869565217391304,46
0_1_2_4_7_8_10_29_30_32_35_37,5,0.10869565217391304,46
12_13_14_16_19_20_23_26_29_30_33_34_36_37,5,0.03184713375796178,157
12_13_15_16_18_20_22_27_29_30_33_34_35_37,5,0.023148148148148147,216
26_30_33_34_36_37,5,0.019157088122605363,261
0_1_3_5_7_8_9_29_30_33_34_35_37_38,5,0.01824817518248175,274
0_1_3_4_6_8_9_29_30_33_34_36_37_38,5,0.017793594306049824,281
0_1_3_4_7_8_9_27_29_30_33_34_35_37,5,0.00697350069735007,717
0_1_3_4_7_8_10_27_29_30_33_34_35_37,5,0.006402048655569782,781
0_1_2_5_7_8_9_27_29_30_33_34_35_37,5,0.006195786864931847,807
0_1_2_5_7_8_11_27_29_30_33_34_36_37,5,0.006188118811881188,808
0_1_3_5_6_8_9_27_29_30_33_34_36_37,5,0.006082725060827251,822
0_1_3_4_6_8_11_26_29_30_33_34_35_37,5,0.005931198102016607,843
0_1_2_4_7_8_9_27_29_30_33_34_36_37,5,0.005917159763313609,845
0_1_2_5_7_8_9_26_29_30_33_34_36_37,5,0.005807200929152149,861
0_1_2_4_6_8_9_27_29_30_33_34_35_37,5,0.005720823798627002,874
0_1_3_4_6_8_10_26_29_30_33_34_36_37,5,0.005701254275940707,877
0_1_2_4_6_8_11_26_29_30_33_34_35_37,5,0.0056625141562853904,883
0_1_3_5_6_8_9_26_29_30_33_34_35_37,5,0.00562429696287964,889
0_1_2_4_7_8_9_26_29_30_33_34_35_37,5,0.005549389567147614,901
0_1_2_5_6_8_9_26_29_30_33_34_35_37,5,0.005543237250554324,902
26_29_30_32_33_34_35_37,5,0.0055248618784530384,905
12_13_14_16_18_20_21_29_30_32_36_37,4,0.4,10
12_13_14_16_19_20_21_29_30_32_35_37,4,0.4,10
24_27_29_30_32_36_37,4,0.26666666666666666,15
12_13_14_17_18_20_23_29_30_32_36_37,4,0.26666666666666666,15
0_1_2_5_6_8_10_29_30_32_34_35_37,4,0.25,16
0_1_3_4_6_8_11_29_30_32_34_36_37,4,0.2222222222222222,18
12_13_15_16_19_20_21_29_30_32_36_37,4,0.21052631578947367,19
25_29_30_32_36_37,4,0.21052631578947367,19
25_26_29_30_32_34_36_37,4,0.18181818181818182,22
0_1_2_4_7_8_11_29_30_32_35_37,4,0.13793103448275862,29
0_1_2_5_7_8_11_29_30_32_35_37,4,0.12903225806451613,31
0_1_3_4_7_8_11_29_30_32_36_37,4,0.125,32
0_1_3_4_7_8_9_29_30_32_36_37,4,0.11764705882352941,34
0_1_3_5_6_8_9_29_30_32_35_37,4,0.1111111111111111,36
0_1_2_4_7_8_11_29_30_32_36_37,4,0.10810810810810811,37
0_1_2_5_6_8_9_29_30_32_36_37,4,0.09302325581395349,43
0_1_3_5_7_8_9_29_30_32_35_37,4,0.09302325581395349,43
0_1_3_5_7_8_10_29_30_32_36_37,4,0.09302325581395349,43
0_1_2_5_6_8_10_29_30_32_36_37,4,0.09090909090909091,44
0_1_3_4_7_8_11_29_30_32_35_37,4,0.08888888888888889,45
0_1_2_5_6_8_11_29_30_32_36_37,4,0.08888888888888889,45
12_13_14_16_19_20_23_39_40_41_43_45_47_48_49_51,4,0.0273972602739726,146
12_13_15_16_18_20_22_39_40_41_43_45_47_48_50_51,4,0.022727272727272728,176
12_13_15_17_18_20_23_26_29_30_33_34_36_37,4,0.0196078431372549,204
0_1_2_4_6_8_9_29_30_33_34_35_37_38,4,0.01509433962264151,265
0_1_3_4_6_8_10_29_30_33_34_35_37_38,4,0.014925373134328358,268
0_1_2_4_7_8_10_29_30_33_34_35_37_38,4,0.014705882352941176,272
0_1_2_5_7_8_10_29_30_33_34_36_37_38,4,0.012779552715654952,313
0_1_2_4_7_8_11_39_40_41_44_45_47_48_49_51,4,0.012578616352201259,318
0_1_3_5_6_8_9_29_30_33_34_35_37_38,4,0.01238390092879257,323
0_1_3_5_7_8_11_39_40_41_43_45_47_48_49_51,4,0.012121212121212121,330
0_1_3_4_6_8_10_39_40_41_43_45_47_48_50_51,4,0.012084592145015106,331
0_1_2_4_7_8_9_39_40_41_44_45_47_48_49_51,4,0.011560693641618497,346
0_1_2_5_7_8_11_39_40_41_43_45_47_48_50_51,4,0.011461318051575931,349
0_1_2_4_7_8_11_39_40_41_44_45_47_48_50_51,4,0.011363636363636364,352
0_1_3_5_6_8_11_39_40_41_43_45_47_48_50_51,4,0.011204481792717087,357
0_1_3_5_6_8_9_39_40_41_43_45_47_48_50_51,4,0.011111111111111112,360
0_1_3_5_6_8_10_39_40_41_43_45_47_48_49_51,4,0.01078167115902965,371
0_1_2_5_6_8_11_29_30_31_33_34_36_37,4,0.007984031936127744,501
0_1_2_5_7_8_10_27_29_30_33_34_36_37,4,0.005235602094240838,764
0_1_3_4_6_8_10_27_29_30_33_34_35_37,4,0.005215123859191656,767
0_1_3_4_7_8_10_27_29_30_33_34_36_37,4,0.005082592121982211,787
0_1_3_5_6_8_10_27_29_30_33_34_36_37,4,0.005044136191677175,793
0_1_2_4_7_8_11_27_29_30_33_34_36_37,4,0.004956629491945477,807
0_1_3_4_6_8_11_27_29_30_33_34_35_37,4,0.0049382716049382715,810
0_1_2_4_7_8_11_26_29_30_33_34_35_37,4,0.0048484848484848485,825
0_1_3_4_7_8_9_27_29_30_33_34_36_37,4,0.004801920768307323,833
0_1_3_4_7_8_11_27_29_30_33_34_35_37,4,0.004790419161676647,835
0_1_2_5_7_8_9_27_29_30_33_34_36_37,4,0.004784688995215311,836
0_1_2_4_7_8_11_27_29_30_33_34_35_37,4,0.004767580452920143,839
0_1_3_4_6_8_11_27_29_30_33_34_36_37,4,0.0047562425683709865,841
0_1_3_4_6_8_9_26_29_30_33_34_36_37,4,0.00468384074941452,854
0_1_3_5_6_8_10_26_29_30_33_34_35_37,4,0.004645760743321719,861
0_1_2_5_6_8_11_26_29_30_33_34_35_37,4,0.004509582863585118,887
0_1_2_4_7_8_11_26_29_30_33_34_36_37,4,0.004434589800443459,902
0_1_2_4_6_8_9_26_29_30_33_34_36_37,4,0.004419889502762431,905
0_1_3_4_7_8_11_26_29_30_33_34_35_37,4,0.004343105320304018,921
0_1_2_4_6_8_11_27_29_30_32_35_37,3,1.0,3
0_1_3_5_7_8_9_26_29_30_32_36_37,3,0.75,4
0_1_3_4_6_8_9_27_29_30_32_35_37,3,0.75,4
0_1_2_5_6_8_9_27_29_30_32_36_37,3,0.75,4
24_29_30_32_35_37,3,0.5,6
28_29_30_32_36_37,3,0.42857142857142855,7
12_13_15_17_18_20_22_29_30_32_35_37,3,0.3333333333333333,9
12_13_14_16_18_20_23_29_30_32_35_37,3,0.3,10
12_13_15_16_18_20_22_29_30_32_35_37,3,0.2727272727272727,11
12_13_15_16_18_20_21_29_30_32_36_37,3,0.25,12
12_13_15_17_19_20_22_29_30_32_36_37,3,0.25,12
12_13_15_17_18_20_23_29_30_32_35_37,3,0.25,12
12_13_14_17_19_20_21_29_30_32_36_37,3,0.23076923076923078,13
12_13_14_16_19_20_22_29_30_32_35_37,3,0.23076923076923078,13
24_26_29_30_32_36_37,3,0.23076923076923078,13
12_13_15_17_18_20_21_29_30_32_35_37,3,0.21428571428571427,14
12_13_15_17_19_20_23_29_30_32_35_37,3,0.21428571428571427,14
12_13_15_16_18_20_22_29_30_32_36_37,3,0.21428571428571427,14
12_13_15_16_19_20_21_29_30_32_34_36_37,3,0.1875,16
12_13_15_16_19_20_23_29_30_32_36_37,3,0.1875,16
0_1_2_4_6_8_10_29_30_32_34_35_37,3,0.1875,16
12_13_14_17_18_20_21_29_30_32_35_37,3,0.17647058823529413,17
0_1_2_5_6_8_11_29_30_32_34_35_37,3,0.16666666666666666,18
0_1_2_4_6_8_11_29_30_32_34_35_37,3,0.16666666666666666,18
0_1_2_5_7_8_10_29_30_32_34_35_37,3,0.16666666666666666,18
0_1_3_4_6_8_10_29_30_32_34_36_37,3,0.15,20
12_13_15_17_19_20_21_29_30_32_36_37,3,0.13043478260869565,23
0_1_2_4_6_8_9_29_30_32_34_35_37,3,0.1111111111111111,27
0_1_3_5_6_8_9_29_30_32_36_37,3,0.08823529411764706,34
0_1_3_5_6_8_11_29_30_32_35_37,3,0.08571428571428572,35
0_1_3_4_6_8_11_29_30_32_35_37,3,0.08108108108108109,37
0_1_2_5_7_8_9_29_30_32_35_37,3,0.08108108108108109,37
26_29_30_32_35_37_38,3,0.0625,48
29_30_33_34_35_37_38,3,0.03409090909090909,88
12_13_15_16_19_20_21_29_30_33_34_35_37_38,3,0.03225806451612903,93
12_13_15_16_18_20_22_29_30_33_34_35_37_38,3,0.030927835051546393,97
12_13_15_17_19_20_22_29_30_33_34_35_37_38,3,0.02830188679245283,106
12_13_15_16_19_20_21_39_40_41_43_45_47_48_49_51,3,0.01948051948051948,154
12_13_14_16_19_20_22_39_40_41_44_45_47_48_49_51,3,0.018292682926829267,164
12_13_14_17_19_20_23_39_40_41_44_45_47_48_50_51,3,0.018292682926829267,164
12_13_15_17_18_20_23_39_40_41_43_45_47_48_50_51,3,0.01775147928994083,169
0_1_2_5_7_8_9_29_30_32_33_34_35_37,3,0.01775147928994083,169
12_13_15_16_19_20_22_27_29_30_33_34_35_37,3,0.01744186046511628,172
12_13_15_17_19_20_22_26_29_30_33_34_35_37,3,0.01744186046511628,172
12_13_14_17_18_20_21_26_29_30_33_34_36_37,3,0.01744186046511628,172
0_1_3_5_7_8_9_29_30_32_33_34_35_37,3,0.017241379310344827,174
12_13_14_17_19_20_23_39_40_41_43_45_47_48_50_51,3,0.016483516483516484,182
12_13_15_16_19_20_21_26_29_30_33_34_35_37,3,0.016483516483516484,182
12_13_14_17_18_20_22_27_29_30_33_34_36_37,3,0.015957446808510637,188
12_13_14_17_19_20_22_39_40_41_43_45_47_48_50_51,3,0.015706806282722512,191
12_13_15_16_18_20_23_27_29_30_33_34_36_37,3,0.015,200
12_13_15_17_18_20_22_27_29_30_33_34_35_37,3,0.014563106796116505,206
12_13_14_17_19_20_21_27_29_30_33_34_36_37,3,0.014563106796116505,206
12_13_15_17_18_20_21_27_29_30_33_34_36_37,3,0.014218009478672985,211
12_13_15_17_19_20_21_27_29_30_33_34_35_37,3,0.013824884792626729,217
25_39_40_41_43_45_47_48_49_51,3,0.013636363636363636,220
27_29_30_33_34_36_37_38,3,0.012711864406779662,236
0_1_3_4_6_8_11_29_30_33_34_35_37_38,3,0.011406844106463879,263
0_1_3_5_7_8_10_29_30_33_34_36_37_38,3,0.011194029850746268,268
0_1_3_5_7_8_10_29_30_33_34_35_37_38,3,0.01098901098901099,273
0_1_3_5_7_8_11_29_30_33_34_36_37_38,3,0.01048951048951049,286
26_39_40_41_43_45_47_48_49_51,3,0.01,300
27_29_30_33_34_35_37_38,3,0.00980392156862745,306
0_1_2_5_6_8_9_29_30_33_34_35_37_38,3,0.009771986970684038,307
0_1_3_5_6_8_10_39_40_41_43_45_47_48_50_51,3,0.009708737864077669,309
0_1_3_5_7_8_9_39_40_41_44_45_47_48_50_51,3,0.00946372239747634,317
0_1_3_5_6_8_9_39_40_41_44_45_47_48_50_51,3,0.009230769230769232,325
0_1_2_4_7_8_11_39_40_41_43_45_47_48_49_51,3,0.00906344410876133,331
0_1_3_5_7_8_11_39_40_41_44_45_47_48_49_51,3,0.008902077151335312,337
0_1_3_4_6_8_11_39_40_41_43_45_47_48_50_51,3,0.008849557522123894,339
0_1_3_5_7_8_10_39_40_41_44_45_47_48_49_51,3,0.008823529411764706,340
0_1_3_5_6_8_9_39_40_41_43_45_47_48_49_51,3,0.008797653958944282,341
0_1_3_4_7_8_11_39_40_41_43_45_47_48_49_51,3,0.008771929824561403,342
0_1_3_4_7_8_10_39_40_41_44_45_47_48_50_51,3,0.008670520231213872,346
0_1_2_5_7_8_10_39_40_41_43_45_47_48_50_51,3,0.008356545961002786,359
0_1_3_5_6_8_11_39_40_41_44_45_47_48_50_51,3,0.008333333333333333,360
